"","text","machine","minutes","seconds","total"
"80","Request completed in 0.58m 34.84s","ibmqx4",0.58,34.84,69.64
"81","Request completed in 0.48m 28.59s","ibmqx4",0.48,28.59,57.39
"82","Request completed in 0.48m 28.85s","ibmqx4",0.48,28.85,57.65
"83","Request completed in 0.67m 40.07s","ibmqx4",0.67,40.07,80.27
"84","Request completed in 0.48m 28.74s","ibmqx4",0.48,28.74,57.54
"85","Request completed in 0.46m 27.77s","ibmqx4",0.46,27.77,55.37
"86","Request completed in 0.46m 27.86s","ibmqx4",0.46,27.86,55.46
"87","Request completed in 0.46m 27.57s","ibmqx4",0.46,27.57,55.17
"88","Request completed in 0.48m 28.54s","ibmqx4",0.48,28.54,57.34
"89","Request completed in 0.47m 28.18s","ibmqx4",0.47,28.18,56.38
"90","Request completed in 0.46m 27.82s","ibmqx4",0.46,27.82,55.42
"91","Request completed in 0.48m 28.7s","ibmqx4",0.48,28.7,57.5
"92","Request completed in 0.47m 28.23s","ibmqx4",0.47,28.23,56.43
"93","Request completed in 0.52m 31.43s","ibmqx4",0.52,31.43,62.63
"94","Request completed in 0.49m 29.18s","ibmqx4",0.49,29.18,58.58
"95","Request completed in 0.47m 28.29s","ibmqx4",0.47,28.29,56.49
"96","Request completed in 0.5m 30.03s","ibmqx4",0.5,30.03,60.03
"97","Request completed in 0.55m 33.19s","ibmqx4",0.55,33.19,66.19
"98","Request completed in 0.46m 27.69s","ibmqx4",0.46,27.69,55.29
"99","Request completed in 0.48m 28.58s","ibmqx4",0.48,28.58,57.38
"100","Request completed in 0.47m 28.34s","ibmqx4",0.47,28.34,56.54
"101","Request completed in 0.46m 27.48s","ibmqx4",0.46,27.48,55.08
"102","Request completed in 0.46m 27.31s","ibmqx4",0.46,27.31,54.91
"103","Request completed in 0.46m 27.67s","ibmqx4",0.46,27.67,55.27
"104","Request completed in 0.47m 28.03s","ibmqx4",0.47,28.03,56.23
"105","Request completed in 0.45m 27.28s","ibmqx4",0.45,27.28,54.28
"106","Request completed in 0.46m 27.75s","ibmqx4",0.46,27.75,55.35
"107","Request completed in 0.46m 27.74s","ibmqx4",0.46,27.74,55.34
"108","Request completed in 0.46m 27.58s","ibmqx4",0.46,27.58,55.18
"109","Request completed in 0.47m 28.13s","ibmqx4",0.47,28.13,56.33
"110","Request completed in 0.46m 27.61s","ibmqx4",0.46,27.61,55.21
"111","Request completed in 0.47m 28.05s","ibmqx4",0.47,28.05,56.25
"112","Request completed in 0.46m 27.49s","ibmqx4",0.46,27.49,55.09
"113","Request completed in 0.46m 27.53s","ibmqx4",0.46,27.53,55.13
"114","Request completed in 0.46m 27.68s","ibmqx4",0.46,27.68,55.28
"115","Request completed in 0.46m 27.46s","ibmqx4",0.46,27.46,55.06
